region,country_name,Not_in_Rmap
Antarctica,NA,Channel Islands
Antigua,Antigua & Barbuda,Cote dIvoire
Ascension Island,NA,Gibraltar
Azores,NA,Hong Kong
Barbuda,NA,Macau
Bonaire,NA,Netherlands Antilles
Brunei,Brunei Darussalam,Pacific Islands Trust Territory
Canary Islands,NA,Serbia and Montenegro
Chagos Archipelago,NA,Svalbard and Jan Mayen Islands
Cocos Islands,Cocos (Keeling) Islands,Tokelau
Democratic Republic of the Congo,"Congo, the Democratic Republic of the",Tuvalu
Falkland Islands,Falkland Islands (Malvinas),"Yugoslavia, Federal Republic of"
French Southern and Antarctic Lands,NA,
Grenadines,NA,
Heard Island,NA,
Iran,"Iran, Islamic Republic of",
Ivory Coast,NA,
Kosovo,NA,
Laos,Lao Peoples Democratic Republic,
Libya,Libyan Arab Jamahiriya,
Madeira Islands,NA,
Micronesia,"Micronesia, Federated States of",
Moldova,"Moldova, Republic of",
Nevis,NA,
North Korea,"Korea, Democratic Peoples Republic of",
North Macedonia,"Macedonia, the former Yugoslav Republic of",
Palestine,"Palestinian Territory, Occupied",
Republic of Congo,Congo,
Russia,Russian Federation,
Saba,NA,
Saint Barthelemy,NA,
Saint Kitts,Saint Kitts and Nevis,
Saint Martin,NA,
Saint Vincent,Saint Vincent and the Grenadines,
Siachen Glacier,NA,
Sint Eustatius,NA,
South Georgia,NA,
South Korea,"Korea, Republic of",
South Sandwich Islands,NA,
Syria,Syrian Arab Republic,
Tanzania,"Tanzania, United Republic of",
Timor-Leste,Timor Leste,
Tobago,Trinidad and Tobago,
Trinidad,Trinidad and Tobago,
Turks and Caicos Islands,Turks and Caicos,
UK,United Kingdom,
USA,United States of America,
Vietnam,Viet Nam,
Virgin Islands,"Virgin Islands, British",
