region,Region
USA,USA
Africa_Eastern,Africa
Africa_Northern,Africa
Africa_Southern,Africa
Africa_Western,Africa
Australia_NZ,Australia_NZ
Brazil,Brazil
Canada,Canada
Central America and Caribbean,Latin America
Central Asia,West Asia
China,China
EU-12,Europe
EU-15,Europe
Europe_Eastern,Europe
Europe_Non_EU,Europe
European Free Trade Association,Europe
India,South Asia
Indonesia,Southeast Asia
Japan,East Asia
Mexico,Latin America
Middle East,West Asia
Pakistan,South Asia
Russia,Russia
South Africa,Africa
South America_Northern,Latin America
South America_Southern,Latin America
South Asia,South Asia
South Korea,East Asia
Southeast Asia,Southeast Asia
Taiwan,East Asia
Argentina,Latin America
Colombia,Latin America
